backend_name;api_name
tv_spot_language;tv_spot_language
tv_spot_last_air_datetime;tv_spot_last_air_datetime
tv_spot_length_per_spot;tv_spot_length_per_spot
tv_spot_nielsen;tv_spot_nielsen
tv_spot_nielsenid;tv_spot_nielsenid
tv_spot_online;tv_spot_online
tv_spot_program_after;tv_spot_program_after
tv_spot_program_before;tv_spot_program_before
tv_spot_video;tv_spot_video
tvlogid;tvlogid
undefined;undefined
uniqueuser;uniqueuser
uniquevisit;uniquevisit
uplift_type;tv_uplift_type
user_fingerprint;user_fingerprint
useragent;useragent
view_banner;view_banner
view_campaign;view_campaign
view_country;view_country
view_customer;view_customer
view_customer_trackgroup;view_trackgroup
view_dimparam_campaign;view_utm_campaign
view_dimparam_content;view_utm_content
view_dimparam_medium;view_utm_medium
view_dimparam_source;view_utm_source
view_dimparam_term;view_utm_term
view_keyword;view_keyword
view_logdate;view_date
view_mediacode;view_mc
visit_start_requestid;visit_start_requestid
visit_type;visit_type
week;week
week_of_month;week_of_month
week_of_year;week_of_year
week_of_year_friday;week_of_year_friday
week_offset;week_offset
yahoo_geo_targets;yahoo_geo_targets
yahoo_japan_bid_strategy;yahoo_japan_bid_strategy
year;year
year_by_week;year_by_week
year_halfyear;year_halfyear
year_quarter;year_quarter
